20180416 13:37:02.580|04761432|P1001|0|0|0|0100||000000||0||006101||||||0|0|B|30||||6218779889382911||156||603353|000000|OT||0|9|0|IB|1111|0|0|9|9|0
20180416 13:41:08.390|04761432|PURCH|100|100|100|0100||000000||0||006101||||||0|0|B|30||||6218779889382933||156||603353|000000|PU|55|0|9|0|IB|1111|0|0|9|9|0
20180416 13:39:59.080|04761432|PURCH|100|100|100|0100||000000||0||006101||||||0|0|B|30||||6218779889382922||156||603353|000000|PU||0|9|0|IB|1111|0|0|9|9|0
20180416 13:37:06.330|04761432|PURCH|100|100|100|0100||000000||0||006101||||||0|0|B|30||||6218779889382922||156||603353|000000|PU||0|9|0|IB|1111|0|0|9|9|0
20180416 13:40:01.190|04761432|PURCH|100|100|100|0100||000000||0||006101||||||0|0|B|30||||6218779889382933||156||603353|000000|PU|55|0|9|0|IB|1111|0|0|9|9|0
20180416 13:36:22.920|04761432|P1001|0|0|0|0100||000000||0||006101||||||0|0|B|30||||6218779889382911||156||603353|000000|OT||0|9|0|IB|1111|0|0|9|9|0
20180425 17:31:44.090|04761432|CSHAD|1000|1000|1000|0100||4501||0||006101|12|||||0|0|U|30||||6218779889464914||156||603353|000000|CA||0|9|0|IB|1111|0|0|9|9|0
20180425 19:05:02.930|04761432|CSHAD|1000|1000|1000|0100||4501||0||006101|12|||||0|0|U|30||||6218779889464914||156||603353|000000|CA||0|9|0|IB|1111|0|0|9|9|0
20180508 11:20:35.420|04761432|CSHAD|1000|1000|1000|0000||000000||0|156|04761432|04761432|9999999999||021|0|0|0|B|30||||6219990002977491||156|6011|603353|000000|CA|00|0|9|0|IB|1111|0|0|9|9|0
20180508 11:26:39.170|04761432|PURCH|20000|20000|20000|0000||000000||0|156|04761432|04761432|1234567890||021|0|0|0|B|30||||6219990002447229||156|6011|603353|000000|PU|00|0|9|0|IB|1111|0|0|9|9|0
20180508 11:31:34.090|04761432|PURCH|20000|20000|20000|0000||000000||0|156|04761432|04761432|1234567890||021|0|0|0|B|30||||6219990002447229||156|6011|603353|000000|PU|51|0|9|0|IB|1111|0|0|9|9|0
20180508 13:32:12.290|04761432|BAIQN|1000|1000|1000|0000||000000||0|156|04761432|04761432|123456789||021|0|0|0|B|30||||6219990002455028||156|6011|603353|000000|BI|51|0|9|0|IB|1111|0|0|9|9|0
20180508 13:37:24.500|04761432|BAIQN|1000|1000|1000|0000||000000||0|156|04761432|04761432|123456789||021|0|0|0|B|30||||6219990002453381||156|6011|603353|000000|BI|00|0|9|0|IB|1111|0|0|9|9|0
20180508 13:40:31.650|04761432|PURCH|500|500|500|0000||000000||0|156|04761432|04761432|1234567890||021|0|0|0|B|30||||6219990002453381||156|6011|603353|000000|PU|00|0|9|0|IB|1111|0|0|9|9|0
20180508 13:41:03.110|04761432|PURCH|500|500|500|0000||000000||0|156|04761432|04761432|123456789||021|0|0|0|B|30||||6219990002453381||156|6011|603353|000000|PU|00|0|9|0|IB|1111|0|0|9|9|0
20180508 13:41:08.120|04761432|BAIQN|1000|1000|1000|0000||000000||0|156|04761432|04761432|123456789||021|0|0|0|B|30||||6219990002453921||156|6011|603353|000000|BI|00|0|9|0|IB|1111|0|0|9|9|0
20180508 11:19:24.300|04761432|CSHAD|500|500|500|0000||000000||0|156|04761432|04761432|1234567890||021|0|0|0|B|30||||6219990002922339||156|6011|603353|000000|CA|00|0|9|0|IB|1111|0|0|9|9|0
20180508 11:20:31.830|04761432|CSHAD|500|500|500|0000||000000||0|156|04761432|04761432|1234567890||021|0|0|0|B|30||||6219990002922339||156|6011|603353|000000|CA|00|0|9|0|IB|1111|0|0|9|9|0
20180508 11:31:54.780|04761432|PURCH|5001|5001|5001|0000||000000||0|156|04761432|04761432|1234567890||021|0|0|0|B|30||||6219990002459961||156|6011|603353|000000|PU|51|0|9|0|IB|1111|0|0|9|9|0
20180508 13:36:36.770|04761432|PURCH|500|500|500|0000||000000||0|156|04761432|04761432|1234567890||021|0|0|0|B|30||||6219990002455028||156|6011|603353|000000|PU|00|0|9|0|IB|1111|0|0|9|9|0
20180508 13:36:36.770|04761432|PURCH|500|500|500|0000||000000||0|156|04761432|04761432|1234567890||021|0|0|0|B|30||||6219990002455028||156|6011|603353|000000|PU|00|0|9|0|IB|1111|0|0|9|9|0
20180508 13:36:36.770|04761432|PURCH|500|500|500|0000||000000||0|156|04761432|04761432|1234567890||021|0|0|0|B|30||||6219990002455028||156|6011|603353|000000|PU|00|0|9|0|IB|1111|0|0|9|9|0
